League,Season,Date,HomeTeam,AwayTeam,Predicted,Actual,Correct,HomeProb,DrawProb,AwayProb,Confidence,MarketHome,MarketDraw,MarketAway,MLHome,MLDraw,MLAway,PoissonHome,PoissonDraw,PoissonAway,LambdaHome,LambdaAway
E0,2011/12,21/04/12,Bolton,Swansea,H,D,0,0.3575500982335643,0.3033694179970823,0.33908048376935335,0.3575500982335643,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3695557750464656,0.2844892023882205,0.3459550225653139,0.41922177249349835,0.27134046700455383,0.30943776050194793,1.2545419097262152,1.4952834188742365
E0,2011/12,21/04/12,Fulham,Wigan,H,H,1,0.4301513667929708,0.2963971774601648,0.2734514557468645,0.4301513667929708,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5121107169166861,0.27512003382903627,0.21276924925427768,0.30314278310920245,0.2349565104172295,0.461900706473568,1.9136225524791735,1.5272883915578992
E0,2011/12,21/04/12,Newcastle United,Stoke,H,H,1,0.41900379742826044,0.34829654316713726,0.23269965940460222,0.41900379742826044,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5125450042776273,0.3674833474768498,0.11997164824552295,0.07541423484464344,0.25694737443073196,0.6676383907246247,1.5378237771592271,0.3522827468972096
E0,2011/12,21/04/12,Queens Park Rangers,Tottenham Hotspur,A,H,0,0.30344778927564847,0.31060677802353126,0.3859454327008203,0.3859454327008203,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.29130373615065575,0.2938748514541085,0.4148214123952358,0.19794802118908905,0.3128455278087651,0.489206451002146,1.2668192303461638,0.70526310567986
F1,2011/12,21/04/12,Bordeaux,Marseille,A,H,0,0.340939614835396,0.31781189786015435,0.3412484873044496,0.3412484873044496,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3656945016520273,0.29555271710975817,0.3387527812382145,0.22656961682503515,0.3251495536583548,0.44828082951661,1.1730021982128118,0.7525222807674754
F1,2011/12,21/04/12,Brest,Rennes,A,A,1,0.31947713337752165,0.2961599327333138,0.3843629338891645,0.3843629338891645,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2841676172562572,0.24381274473928152,0.4720196380044612,0.4495350628337094,0.30603003008535656,0.244434907080934,0.8754827108049559,1.282833873220484
F1,2011/12,21/04/12,Caen,St Etienne,H,A,0,0.3426892014016613,0.31967574859004066,0.3376350500082981,0.3426892014016613,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35903705271992575,0.2905428793436098,0.3504200679364646,0.31482093960715335,0.4025052703852686,0.28267379000757803,0.6683711342640136,0.7216805925105928
F1,2011/12,21/04/12,Dijon,Lille,A,A,1,0.30062579185592503,0.29790927432937353,0.40146493381470144,0.40146493381470144,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22693650585445507,0.2542560014264995,0.5188074927190454,0.5303571236161935,0.25747080850880677,0.21217206787499976,0.9948475957726601,1.6990030540983374
F1,2011/12,21/04/12,Evian Thonon Gaillard,Toulouse,A,H,0,0.3337735825058572,0.3149374317326624,0.35128898576148043,0.35128898576148043,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3196668293517451,0.29592760172943033,0.38440556891882455,0.45147034863651553,0.26466115415113867,0.28386849721234575,1.2208830624613567,1.593413102434798
F1,2011/12,21/04/12,Montpellier,Valenciennes,H,H,1,0.39958070601343726,0.2964364547505826,0.3039828392359801,0.39958070601343726,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5378253180863128,0.2695000578718652,0.19267462404182195,0.022344908911576672,0.10606196537006471,0.8715931257183586,2.69228092880088,0.30118173334763254
